Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
3C	0	G11	27052.031	19078.2935	0.705244404754674	0.749745193829207	0.749745193829207
3C	0	G8	25911.74025	19447.51525	0.750529106203124	0.749745193829207	0.749745193829207
3C	5000	A4	27558.286	21141.15225	0.76714321964726	0.749745193829207	0.76714321964726
3C	5000	B10	30319.97025	20318.174	0.670125129822645	0.749745193829207	0.670125129822645
3C	5000	B12	32014.4325	22043.7075	0.688555310171436	0.749745193829207	0.688555310171436
3C	5000	B6	31907.69	24410.70025	0.765041287852552	0.749745193829207	0.765041287852552
3C	5000	E6	27986.2055	15890.08025	0.567782590247899	0.749745193829207	0.567782590247899
3C	5000	F10	27463.18475	19548.9295	0.711823107114334	0.749745193829207	0.711823107114334
3C	5000	G11	30264.24525	23303.16175	0.769989852960235	0.749745193829207	0.769989852960235
3C	5000	G8	30182.06875	22523.874	0.746266738259948	0.749745193829207	0.746266738259948
3C	9000	A4	24996.12925	19247.2635	0.770009760611235	0.749745193829207	0.770009760611235
3C	9000	B10	24324.485	17141.144	0.704686820707612	0.749745193829207	0.704686820707612
3C	9000	B12	26715.8665	16928.10825	0.633635006747769	0.749745193829207	0.633635006747769
3C	9000	B6	28625.4295	19074.396	0.666344447338336	0.749745193829207	0.666344447338336
3C	9000	E6	28684.40225	17978.7015	0.626776229928236	0.749745193829207	0.626776229928236
3C	9000	F10	27248.42425	23728.579	0.870823897275455	0.749745193829207	0.870823897275455
3C	9000	G11	27594.0155	17857.076	0.647135825519849	0.749745193829207	0.647135825519849
3C	9000	G8	28781.34925	22269.30825	0.773740940932434	0.749745193829207	0.773740940932434
